clami_5671	CLAVIBACTER_MICHIGANENSIS_SUBSP._MICHIGANENSIS_NCPPB_382	XXXX	CLAM3
clote_5668	CLOSTRIDIUM_TETANI_E88	XXXX	CLOTE
cocca_5758	COCHLIOBOLUS_CARBONUM_26-R-13	XXXX	COCCA
coche_5759	COCHLIOBOLUS_HETEROSTROPHUS_C5	XXXX	COCHE
cocim_2106	COCCIDIOIDES_IMMITIS_RS	XXXX	COCIM
coclu_5760	COCHLIOBOLUS_LUNATUS_M118	XXXX	COCLU
cocmi_5761	COCHLIOBOLUS_MIYABEANUS_ATCC_44560	XXXX	COCMI
cocpo_1865	COCCIDIOIDES_POSADASII_RMSCC_3488	XXXX	COCPO
cocsa_5762	COCHLIOBOLUS_SATIVUS_ND90PR_	XXXX	COCSA
cocsu_5810	COCCOMYXA_SUBELLIPSOIDEA	XXXX	COCSU
cocvi_5763	COCHLIOBOLUS_VICTORIAE_FI3	XXXX	COCVI
conwo_5672	CONEXIBACTER_WOESEI_DSM_14684	XXXX	CONWI
copci_1868	COPRINOPSIS_CINEREA	5346	COPCI
coppr_5667	COPROTHERMOBACTER_PROTEOLYTICUS_DSM_5265	XXXX	COPPD
coxbu_5661	COXIELLA_BURNETII_RSA_331	XXXX	COXBU
cryho_3313	CRYPTOSPORIDIUM_HOMINIS_ATCC_BAA-381	XXXX	CAMHC
cryne_4121	CRYPTOCOCCUS_NEOFORMANS_VAR._NEOFORMANS	5207	CRYNJ
crypa_4119	CRYPHONECTRIA_PARASITICA	5116	CRYPA
crypa_3352	CRYPTOSPORIDIUM_PARVUM	XXXX	CRYPV
crypt_4243	CRYPTOPHYTA	XXXX	CRYPT
cucbe_5764	CUCURBITARIA_BERBERIDIS_CBS_394.84	XXXX	CUCBE
cucsa_3710	CUCUMIS_SATIVUS	xxxx	CUCSA
culpi_2532	CULEX_PIPIENS_QUINQUEFASCIATUS	xxxx	CULQU
cyaat_4697	CYANOTHECE_ATCC_51142	XXXX	CYAA5
cyame_4612	CYANIDIOSCHYZON_MEROLAE	xxxx	CYAME
cyauc_4696	CYANOBACTERIUM_UCYN-A	XXXX	ATETH
danre_358	DANIO_RERIO	7955	DANRE
dappu_1391	DAPHNIA_PULEX	6669	DAPPU
dasno_3192	DASYPUS_NOVEMCINCTUS	9361	DASNO
debha_2337	DEBARYOMYCES_HANSENII	284592	DEBHA
decar_5655	DECHLOROMONAS_AROMATICA_RCB	XXXX	DECAR
deevu_5643	DESULFOVIBRIO_VULGARIS_DP4	XXXX	DESVV
deipr_5673	DEINOCOCCUS_PROTEOLYTICUS_MRP	XXXX	DEIPM
desac_5666	DESULFOTOMACULUM_ACETOXIDANS_DSM_771	XXXX	DESAS
dicdi_2334	DICTYOSTELIUM_DISCOIDEUM_AX4	44689	DICDI
dicno_5658	DICHELOBACTER_NODOSUS_VCS1703A	XXXX	DICNV
dicpu_4227	DICTYOSTELIUM_PURPUREUM_QSDP1	5786	DICPU
didex_5765	DIDYMELLA_EXIGUA_CBS_183.55_	XXXX	DIDEX
dipor_4056	DIPODOMYS_ORDII	10020	DIPOR
disac_5766	DISSOCONIUM_ACICULARE_	XXXX	DISAC
dotse_5768	DOTHISTROMA_SEPTOSPORUM_NZE10	XXXX	DOTSE
dotsy_5767	DOTHIDOTTHIA_SYMPHORICARPI	XXXX	DOTSY
droan_3272	DROSOPHILA_ANANASSAE	xxxx	DROAN
droer_3273	DROSOPHILA_ERECTA	xxxx	DROER
drogr_3274	DROSOPHILA_GRIMSHAWI	7222	DROGR
drome_4	DROSOPHILA_MELANOGASTER	7227	DROME
dromo_3275	DROSOPHILA_MOJAVENSIS	xxxx	DROMO
drope_3276	DROSOPHILA_PERSIMILIS	xxxx	DROPE
drops_2343	DROSOPHILA_PSEUDOOBSCURA	46245	DROPS
drose_3277	DROSOPHILA_SECHELLIA	xxxx	DROSE
drosi_1233	DROSOPHILA_SIMULANS	xxxx	DROSI
drovi_3278	DROSOPHILA_VIRILIS	7244	DROVI
drowi_3425	DROSOPHILA_WILLISTONI	7260	DROWI
droya_1251	DROSOPHILA_YAKUBA	xxxx	DROYA
echte_3193	ECHINOPS_TELFAIRI	9371	ECHTE
ectsi_4252	ECTOCARPUS_SILICULOSUS	xxxx	ECTSI
ehrca_5640	EHRLICHIA_CANIS_STR._JAKE	XXXX	EHRCJ
eimte_3353	EIMERIA_TENELLA	xxxx	EIMTE
emihu_3331	EMILIANIA_HUXLEYI_CCMP1516	280463	EMIHU
enccu_2934	ENCEPHALITOZOON_CUNICULI	284813	ENCCU
entbi_4241	ENTEROCYTOZOON_BIENEUSI_H348	xxxx	ENTBI
entdi_4245	ENTAMOEBA_DISPAR_SAW760	xxxx	ENTDI
enthi_2345	ENTAMOEBA_HISTOLYTICA	xxxx	ENTHI
erieu_3194	ERINACEUS_EUROPAEUS	9365	ERIEU
escco_5378	ESCHERICHIA_COLI_STR._K-12_SUBSTR._MG1655	XXXX	ECOLX
eucgr_3735	EUCALYPTUS_GRANDIS	xxxx	EUCGR
felca_1709	FELIS_CATUS	9685	FELCA
fracy_4613	FRAGILARIOPSIS_CYLINDRUS_CCMP_1102	xxxx	FRACY
fusgr_1877	FUSARIUM_GRAMINEARUM_PH1	XXXX	GIBZA
fusox_4128	FUSARIUM_OXYSPORUM_F._SP._LYCOPERSICI	426428	FUSO4
fusve_2115	FUSARIUM_VERTICILLIOIDES	xxxx	FUSVE
gadmo_1710	GADUS_MORHUA	8049	GADMO
gasac_2347	GASTEROSTEUS_ACULEATUS	69293	GASAC
gelsu_4792	GELATOPORIA_SUBVERMISPORA	xxxx	GELSU
geosu_5644	GEOBACTER_SULFURREDUCENS_PCA	XXXX	GEOSL
giain_3292	GIARDIA_INTESTINALIS	XXXX	GIAIC
glovi_4698	GLOEOBACTER_VIOLACEUS	XXXX	GLOVI
gorgo_6	GORILLA_GORILLA	9595	GORGO
guith_3316	GUILLARDIA_THETA	XXXX	GUITH
haein_5664	HAEMOPHILUS_INFLUENZAE_10810	XXXX	HAEIN
halvo_5335	HALOFERAX_VOLCANII_DS2	XXXX	HALVD
helro_2711	HELOBDELLA_ROBUSTA	6412	HELRO
heman_3317	HEMISELMIS_ANDERSENII	XXXX	HEMAN
hetan_4142	HETEROBASIDION_ANNOSUM	13563	HETAN
equca_3054	EQUUS_CABALLUS	9796	HORSE
homsa_8	HOMO_SAPIENS	9606	HUMAN
hydma_2	HYDRA_MAGNIPAPILLATA	xxxx	HYDMA
hyspu_5769	HYSTERIUM_PULICARE	XXXX	HYSPU
ignho_5577	IGNICOCCUS_HOSPITALIS	XXXX	IGNH4
ixosc_1169	IXODES_SCAPULARIS	6945	IXOSC
klula_2338	KLUYVEROMYCES_LACTIS	284590	KLULA
kluth_4217	KLUYVEROMYCES_THERMOTOLERANS	xxxx	KLUTH
kluwa_3135	KLUYVEROMYCES_WALTII	xxxx	KLUWA
korcr_5536	CANDIDATUS_KORARCHAEUM_CRYPTOFILUM_OPF8	XXXX	KORCO
lacbi_2940	LACCARIA_BICOLOR	29883	LACBI
lampa_2546	LAMA_PACOS	xxxx	LAMPA
laspu_5821	LASALLIA_PUSTULATA	XXXX	LASPU
latch_5455	LATIMERIA_CHALUMNAE	7897	LATCH
leibr_3318	LEISHMANIA_BRAZILIENSIS	5660	LEIBR
leiin_3319	LEISHMANIA_INFANTUM	5671	LEIIN
leima_3320	LEISHMANIA_MAJOR_STRAIN_FRIEDLIN	5664	LEIMA
lenfl_5770	LENTITHECIUM_FLUVIATILE_	XXXX	LENFL
lepma_4150	LEPTOSPHAERIA_MACULANS	XXXX	LEPMJ
lepoc_5814	LEPISOSTEUS_OCULATUS	XXXX	LEPOC
leppa_5771	LEPIDOPTERELLA_PALUSTRIS	XXXX	LEPPA
linus_3785	LINUM_USITATISSIMUM	xxxx	LINUS
loalo_4309	LOA_LOA	xxxx	LOALO
lodel_2936	LODDEROMYCES_ELONGISPORUS	379508	LODEL
lopma_5772	LOPHIOSTOMA_MACROSTOMUM	XXXX	LOPMA
lotgi_2713	LOTTIA_GIGANTEA	225164	LOTGI
loxaf_3195	LOXODONTA_AFRICANA	9785	LOXAF
maceu_2548	MACROPUS_EUGENII	9315	MACEU
macmu_2333	MACACA_MULATTA	9544	MACMU
macph_5773	MACROPHOMINA_PHASEOLINA_MS6	XXXX	MACPH
maggr_2131	MAGNAPORTHE_GRISEA	148305	MAGGR
zeama_3630	ZEA_MAYS	4577	MAIZE
maldo_3609	MALUS_X_DOMESTICA	xxxx	MALDO
malgl_4238	MALASSEZIA_GLOBOSA_CBS_7966	xxxx	MALGL
manes_3800	MANIHOT_ESCULENTA	3983	MANES
marhy_5674	MARINITHERMUS_HYDROTHERMALIS_DSM_14884	XXXX	MARHT
marma_5638	MARICAULIS_MARIS_MCS10	XXXX	MARMM
marme_5663	MARINOMONAS_MEDITERRANEA_MMB-1	XXXX	MARM1
medtr_3610	MEDICAGO_TRUNCATULA	3880	MEDTR
mella_4152	MELAMPSORA_LARICIS-POPULINA	xxxx	MELLA
melpu_5774	MELANOMMA_PULVIS-PYRIUS	XXXX	MELPU
metba_5357	METHANOSARCINA_BARKERI_STR._FUSARO	XXXX	METBF
metbu_5338	METHANOCOCCOIDES_BURTONII_DSM_6242	XXXX	METBU
metca_5662	METHYLOCOCCUS_CAPSULATUS_STR._BATH	XXXX	METCA
metfl_5652	METHYLOBACILLUS_FLAGELLATUS_KT	XXXX	METFK
metja_5334	METHANOCALDOCOCCUS_JANNASCHII_DSM_2661	XXXX	METJA
metka_5616	METHANOPYRUS_KANDLERI	XXXX	METKA
metla_5618	METHANOCORPUSCULUM_LABREANUM_Z	XXXX	METLA
metse_5576	METALLOSPHAERA_SEDULA	XXXX	METS4
metth_5359	METHANOTHERMOBACTER_THERMAUTOTROPHICUS_STR._DELTA_H	XXXX	METTH
micae_4699	MICROCYSTIS_AERUGINOSA_NIES_843	XXXX	MICAN
micca_4230	MICROSPORUM_CANIS_CBS_113480	xxxx	MICCA
miccc_3477	MICROMONAS_SP._CCMP490	xxxx	MICCC
micgy_4229	MICROSPORUM_GYPSEUM_CBS_118893	xxxx	MICGY
micmu_3196	MICROCEBUS_MURINUS	30608	MICMU
micpu_3476	MICROMONAS_PUSILLA_SP._RCC299	XXXX	MICPU
mimgu_3809	MIMULUS_GUTTATUS	xxxx	MIMGU
monbr_1569	MONOSIGA_BREVICOLLIS	81824	MONBE
mondo_1759	MONODELPHIS_DOMESTICA	13616	MONDO
monpe_4240	MONILIOPHTHORA_PERNICIOSA_FA553	xxxx	MONPE
musmu_1	MUS_MUSCULUS	10090	MOUSE
mucci_4157	MUCOR_CIRCINELLOIDES	36080	MUCCI
muspu_3428	MUSTELA_PUTORIUS_FURO	XXXX	MUSPF
mycfi_2941	MYCOSPHAERELLA_FIJIENSIS	xxxx	MYCFI
mycgr_4158	MYCOSPHAERELLA_GRAMINICOLA	1047171	MYCGR
myolu_3197	MYOTIS_LUCIFUGUS	59463	MYOLU
myrdu_5775	MYRIANGIUM_DURIAEI_CBS_260.36	XXXX	MYRDU
naegr_3321	NAEGLERIA_GRUBERI	744533	NAEGR
naneq_5580	NANOARCHAEUM_EQUITANS	XXXX	NANEQ
nasvi_363	NASONIA_VITRIPENNIS	xxxx	NASVI
natph_5356	NATRONOMONAS_PHARAONIS_DSM_2160	XXXX	NATPD
necha_4160	NECTRIA_HAEMATOCOCCA_MPVI	140110	NECHA
neigo_5653	NEISSERIA_GONORRHOEAE_FA_1090	XXXX	NEIG1
nemve_2309	NEMATOSTELLA_VECTENSIS	45351	NEMVE
neoca_3355	NEOSPORA_CANINUM	XXXX	NEOCA
neopa_5776	NEOFUSICOCCUM_PARVUM_UCRNP2	XXXX	NEOPA
neucr_1906	NEUROSPORA_CRASSA	367110	NEUCR
neudi_4234	NEUROSPORA_DISCRETA_FGSC_8579_MAT_A	xxxx	NEUDI
